wave,trust_stratum,spec,n_cc,has_edges,has_adjacency,context_label
55,high,g05,309,1,1,wave55_high_g05
55,high,g05_spearman,309,1,1,wave55_high_g05_spearman
55,high,g05_thr,309,1,1,wave55_high_g05_thr
55,high,g075,309,1,1,wave55_high_g075
55,low,g05,376,1,1,wave55_low_g05
55,low,g05_spearman,376,1,1,wave55_low_g05_spearman
55,low,g05_thr,376,1,1,wave55_low_g05_thr
55,low,g075,376,1,1,wave55_low_g075
56,high,g05,351,1,1,wave56_high_g05
56,high,g05_spearman,351,1,1,wave56_high_g05_spearman
56,high,g05_thr,351,1,1,wave56_high_g05_thr
56,high,g075,351,1,1,wave56_high_g075
56,low,g05,383,1,1,wave56_low_g05
56,low,g05_spearman,383,1,1,wave56_low_g05_spearman
56,low,g05_thr,383,1,1,wave56_low_g05_thr
56,low,g075,383,1,1,wave56_low_g075
57,high,g05,407,1,1,wave57_high_g05
57,high,g05_spearman,407,1,1,wave57_high_g05_spearman
57,high,g05_thr,407,1,1,wave57_high_g05_thr
57,high,g075,407,1,1,wave57_high_g075
57,low,g05,336,1,1,wave57_low_g05
57,low,g05_spearman,336,1,1,wave57_low_g05_spearman
57,low,g05_thr,336,1,1,wave57_low_g05_thr
57,low,g075,336,1,1,wave57_low_g075
