"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.552748012727947
"USE2_MASK","USE2_SPACE150",0.327032216961362
"USE2_AVOID","USE2_SPACE150",0.277096243350879
"AFF_FEAR","SEVERITY",0.267758140236528
"USE2_HANDWASH20","USE2_SPACE150",0.230419916269903
"SEVERITY","WORRY_HEALTH_SYSTEM",0.186739468978733
"USE2_AVOID","USE2_MASK",0.158321021438952
"USE2_HANDWASH20","USE2_MASK",0.147115905845485
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0.142127997118949
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.138703681778115
"USE2_AVOID","USE2_HANDWASH20",0.121938536268603
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.111052337322037
"AFF_FEAR","USE2_AVOID",0.10736777239394
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.0958657154296311
"AFF_WORRY","SEVERITY",0.0823438191047631
"AFF_WORRY","USE2_SPACE150",0.0705413622572092
"AFF_WORRY","USE2_AVOID",0.0624861121290443
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.031643810010475
"SEVERITY","USE2_MASK",0.0173270098917509
"AFF_WORRY","USE2_MASK",0.0155628239941265
"SEVERITY","USE2_AVOID",0.0149954739223753
"SEVERITY","USE2_SPACE150",0.0136813275947072
"SEVERITY","USE2_HANDWASH20",0.00463087068002591
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0
"AFF_FEAR","USE2_MASK",0
"AFF_FEAR","USE2_SPACE150",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
