"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.531702417744227
"USE2_MASK","USE2_SPACE150",0.312858578961457
"USE2_AVOID","USE2_SPACE150",0.284512997577216
"USE2_HANDWASH20","USE2_SPACE150",0.267336726942148
"AFF_FEAR","SEVERITY",0.244316734085197
"AFF_WORRY","SEVERITY",0.209644704385641
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.171926696692816
"SEVERITY","USE2_AVOID",0.158154120584315
"USE2_AVOID","USE2_HANDWASH20",0.14992139030542
"USE2_HANDWASH20","USE2_MASK",0.141493307939287
"USE2_AVOID","USE2_MASK",0.138167519360311
"AFF_WORRY","USE2_MASK",0.120958932741573
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.101737156392353
"SEVERITY","WORRY_HEALTH_SYSTEM",0.0711493088825936
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.0309770366944167
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.0279832057582668
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0.0237807288011251
"AFF_WORRY","USE2_SPACE150",0.0229914138579841
"AFF_FEAR","USE2_AVOID",0.015818496997153
"AFF_FEAR","USE2_SPACE150",0.0148866465976628
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_MASK",0
"SEVERITY","USE2_SPACE150",0
"SEVERITY","USE2_HANDWASH20",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
"AFF_WORRY","USE2_AVOID",0
